city,lat,long,deaths,event,executors
Ingolstadt,48.76,11.42,426,air-firebomb,USAAF
Oldenburg,53.13,8.21,15,air-firebomb,
Nuremberg,49.46,11.07,5987,air-firebomb,RAF/USAAF
Leipzig,51.34,12.37,4970,air-firebomb,RAF/USAAF
Gottingen,51.53,9.93,104,air-firebomb,
Hameln,52.10,9.35,336,air-firebomb,RAF
Paderborn,51.71,8.76,900,air-firebomb,RAF
Wesel,51.65,6.61,36,air-firebomb,RAF
Hildesheim,52.15,9.95,3334,air-firebomb,RAF/RCAF
Bremen,53.07,8.80,147,air-firebomb,USAAF/RAF
Hanau,50.13,8.91,2400,air-firebomb,RAF
Wuppertal,51.26,7.17,3556,air-firebomb,RAF
Vienna,48.20,16.37,15728,air-firebomb,USAAF
Bebra,50.98,9.83,69,air-firebomb,USAAF
Kassel,51.31,9.49,10500,air-firebomb,RAF
Ulm,48.39,9.99,1392,air-firebomb,RAF
Mainz,50.00,8.27,1361,air-firebomb,RAF
Pforzheim,48.89,8.70,18939,air-firebomb,RAF
Meiningen,50.57,10.42,208,air-firebomb,USAAF
Kitzingen,49.73,10.16,700,air-firebomb,USAAF
Ansbach,49.30,10.57,445,air-firebomb,
Plauen,50.49,12.13,387,air-firebomb,
Crailsheim,49.13,10.07,61,air-firebomb,
Neumarkt,49.27,11.45,500,air-firebomb,
Treuchtlingen,48.95,10.90,586,air-firebomb,
Halberstadt,51.89,11.05,172,air-firebomb,
Dresden,51.04,13.73,23850,air-firebomb,RAF/USAAF
Magdeburg,52.13,11.63,2250,air-firebomb,RAF
Stuttgart,48.77,9.18,3554,air-firebomb,RAF/USAAF
Koblenz,50.35,7.59,938,air-firebomb,USAAF/RAF
Munich,48.13,11.57,1233,air-firebomb,RAF/USAAF
Heilbronn,49.14,9.21,6788,air-firebomb,RAF
Freiburg iB,48.01,7.82,2907,air-firebomb,RAF
Duren,50.80,6.48,3264,air-firebomb,RAF/USAAF
Bochum,51.48,7.21,1352,air-firebomb,
Hannover,52.37,9.73,2402,air-firebomb,LUFTW/USAAF/RAF
Essen,51.45,7.01,1641,air-firebomb,RAF
Salzburg,50.66,8.04,245,air-firebomb,
Braunschweig,52.26,10.52,640,air-firebomb,RAF
Duisburg,51.43,6.75,2550,air-firebomb,RAF
Stralsund,54.30,13.08,800,air-firebomb,USAAF
Darmstadt,49.88,8.67,11500,air-firebomb,RAF
Lubeck,53.86,10.68,761,air-firebomb,RAF/USAAF
Anklam,53.85,13.68,851,air-firebomb,LUFTW/USAAF/RAF
Dusseldorf,51.22,6.77,1970,air-firebomb,RAF
Augsburg,48.36,10.68,742,air-firebomb,RAF
Berlin,52.51,13.38,4400,air-firebomb,RAF
Cologne,50.93,6.95,4885,air-firebomb,RAF
Remscheid,51.17,7.19,1200,air-firebomb,RAF
